iter	Passed	Remaining
610	8070	5137
611	8084	5125
612	8095	5111
613	8110	5098
614	8125	5086
615	8139	5073
616	8163	5067
617	8176	5054
618	8195	5044
619	8212	5033
620	8225	5019
621	8237	5006
622	8253	4994
623	8265	4980
624	8279	4967
625	8290	4953
626	8304	4940
627	8320	4928
628	8331	4914
629	8345	4901
630	8354	4885
631	8363	4869
632	8378	4857
633	8385	4840
634	8403	4830
635	8420	4819
636	8433	4805
637	8444	4791
638	8457	4777
639	8469	4764
640	8484	4751
641	8496	4737
642	8509	4724
643	8526	4713
644	8543	4702
645	8556	4688
646	8567	4674
647	8580	4660
648	8587	4644
649	8601	4631
650	8616	4619
651	8630	4606
652	8645	4594
653	8652	4577
654	8662	4562
655	8675	4549
656	8689	4536
657	8698	4521
658	8713	4508
659	8726	4495
660	8740	4482
661	8751	4468
662	8763	4454
663	8783	4444
664	8795	4430
665	8808	4417
666	8825	4405
667	8838	4392
668	8847	4377
669	8861	4364
670	8875	4351
671	8887	4337
672	8905	4327
673	8923	4316
674	8938	4303
675	8947	4288
676	8958	4274
677	8967	4259
678	8977	4243
679	8986	4228
680	8995	4213
681	9002	4197
682	9018	4185
683	9028	4171
684	9043	4158
685	9058	4146
686	9071	4132
687	9083	4119
688	9097	4106
689	9110	4093
690	9124	4080
691	9141	4068
692	9157	4056
693	9168	4042
694	9184	4030
695	9198	4017
696	9210	4003
697	9228	3993
698	9251	3983
699	9261	3969
700	9273	3955
701	9289	3943
702	9299	3928
703	9308	3913
704	9318	3899
705	9329	3884
706	9339	3870
707	9352	3857
708	9365	3843
709	9375	3829
710	9387	3815
711	9402	3803
712	9421	3792
713	9434	3779
714	9449	3766
715	9459	3752
716	9473	3739
717	9483	3724
718	9496	3711
719	9509	3698
720	9519	3683
721	9531	3669
722	9543	3656
723	9562	3645
724	9581	3634
725	9605	3625
726	9626	3614
727	9641	3602
728	9656	3589
729	9661	3573
730	9681	3562
731	9698	3550
732	9730	3544
733	9755	3535
734	9768	3521
735	9783	3509
736	9809	3500
737	9826	3488
738	9845	3477
739	9880	3471
740	9913	3465
741	9928	3452
742	9960	3445
743	9980	3434
744	9995	3421
745	10027	3414
746	10043	3401
747	10062	3390
748	10074	3376
749	10086	3362
750	10099	3348
751	10116	3336
752	10132	3323
753	10150	3311
754	10171	3300
755	10190	3288
756	10200	3274
757	10211	3260
758	10231	3248
759	10249	3236
760	10264	3223
761	10274	3209
762	10290	3196
763	10308	3184
764	10322	3170
765	10338	3158
766	10344	3142
767	10360	3129
768	10376	3117
769	10392	3104
770	10407	3091
771	10426	3079
772	10435	3064
773	10452	3052
774	10465	3038
775	10475	3023
776	10487	3009
777	10494	2994
778	10508	2981
779	10523	2968
